id,Matrix Name,Rows,Columns,NNZ,Average NNZ for rows,Dev Std Rows,Description
2519,auto,448695,448695,6629222,14.77,2.71,"Balanced load: A medium-density matrix with very low variance in row lengths, representing a structurally uniform and predictable workload."
2375,cant,62451,62451,4007383,64.17,14.06,"High density: A relatively compact but dense matrix with a large number of non-zeros per row, generating heavy computational volume per row."
2462,coAuthorsDBLP,299067,299067,1955352,6.54,9.82,"Mild irregularity: Introduces early structural irregularities, providing a stepping stone between balanced and skewed datasets."
1883,ecology2,999999,999999,4995991,5.0,0.06,"Uniform structure: Features near-zero variance. Every row contains almost exactly the same amount of elements, completely eliMiating load imbalances."
2376,mac_econ_fwd500,206500,206500,1273389,6.17,4.44,"Standard baseline: A model matrix with medium-low density, serving as reliable middle-ground test case for general validation."
369,pwtk,217918,217918,11524432,52.88,5.45,"Heavy memory footprint: A dense matrix with a massive total number of non-zeros relative to its dimensions, acting as a stress-test for memory bandwidth."
2317,roadNet-CA,1971281,1971281,5533214,2.81,1.01,"Extreme sparsity: A very large graph with extremely few elements per row, representing a scenario dominated by structural navigation rather than computation."
2789,soc-Pokec,1632803,1632803,30622564,18.75,32.14,"Severe irregularity: A social network graph with extreme variance in row lengths, presenting a highly challenging load-balancing scenario."
1842,wb-edu,9845725,9845725,57156537,5.81,20.29,"Big Data scale: The largest dataset in the suite, used to evaluate structural handling and memory allocation limits on massive, multi-million-row topologies."
2301,web-Google,916428,916428,5105039,5.57,6.56,"Real-world graph: Reflects the typical topology of web-routing and information retrieval graphs, offering an intermediate test for irregular sparsity patterns."
,,,,,,,
